date,time,type,description,latitude,longitude,district,address
2026-03-12,12:16:00,theft,highway,26.858235,80.951795,Lucknow,"441 {p} {s}, Lucknow"
2026-03-07,18:48:00,assault,slum area,18.567752,73.80706,Pune,"383 {p} {s}, Pune"
2026-02-28,01:50:00,rape,main road,13.102149,80.311095,Chennai,"225 {p} {s}, Chennai"
2026-03-17,07:45:00,theft,bazaar,17.410421,78.496214,Hyderabad,"268 {p} {s}, Hyderabad"
2026-01-20,05:01:00,assault,temple,22.55211,88.378228,Kolkata,"171 {p} {s}, Kolkata"
2026-01-21,07:45:00,theft,construction site,17.367025,78.461214,Hyderabad,"52 {p} {s}, Hyderabad"
2026-03-02,21:18:00,theft,mohalla,22.52475,88.33487,Kolkata,"217 {p} {s}, Kolkata"
2026-02-24,04:51:00,robbery,mall,26.954058,75.813919,Jaipur,"349 {p} {s}, Jaipur"
2026-03-03,09:40:00,theft,railway station,13.078265,80.244298,Chennai,"203 {p} {s}, Chennai"
2026-03-11,03:34:00,fraud,main road,12.921322,77.605131,Bangalore,"480 {p} {s}, Bangalore"
2026-01-16,16:35:00,robbery,railway station,28.573224,77.254023,Delhi,"217 {p} {s}, Delhi"
2026-01-21,17:19:00,murder,mosque,13.046404,80.26645,Chennai,"43 {p} {s}, Chennai"
2026-03-12,22:53:00,burglary,bus stand,17.361363,78.492181,Hyderabad,"351 {p} {s}, Hyderabad"
2026-01-22,17:47:00,assault,bridge,17.374127,78.49033,Hyderabad,"303 {p} {s}, Hyderabad"
2026-03-19,19:09:00,theft,village,13.092685,80.292893,Chennai,"167 {p} {s}, Chennai"
2026-01-27,09:07:00,rape,railway station,28.569899,77.23967,Delhi,"499 {p} {s}, Delhi"
2026-01-29,13:17:00,murder,school,17.39678,78.507466,Hyderabad,"300 {p} {s}, Hyderabad"
2026-03-21,04:54:00,hit and run,construction site,13.108118,80.259646,Chennai,"252 {p} {s}, Chennai"
2026-02-26,08:35:00,rape,school,26.865198,80.925003,Lucknow,"385 {p} {s}, Lucknow"
2026-03-07,19:14:00,assault,residential area,13.128673,80.232423,Chennai,"268 {p} {s}, Chennai"
2026-02-13,00:06:00,theft,mosque,18.516454,73.814665,Pune,"402 {p} {s}, Pune"
2026-03-14,15:40:00,theft,railway station,13.096538,80.282927,Chennai,"164 {p} {s}, Chennai"
2026-03-18,13:58:00,theft,village,26.889362,80.989062,Lucknow,"175 {p} {s}, Lucknow"
2026-01-07,19:17:00,assault,railway station,19.063375,72.881348,Mumbai,"476 {p} {s}, Mumbai"
2026-01-17,09:56:00,theft,mall,26.923096,75.823637,Jaipur,"122 {p} {s}, Jaipur"
2026-02-02,04:38:00,theft,railway station,28.565572,77.162877,Delhi,"456 {p} {s}, Delhi"
2026-03-28,14:31:00,fraud,mosque,17.354178,78.469081,Hyderabad,"346 {p} {s}, Hyderabad"
2026-01-17,17:53:00,fraud,bus stand,19.106199,72.873022,Mumbai,"61 {p} {s}, Mumbai"
2026-03-08,14:32:00,dowry death,residential area,17.345698,78.45544,Hyderabad,"334 {p} {s}, Hyderabad"
2026-02-13,20:24:00,hit and run,industrial area,17.396299,78.443763,Hyderabad,"412 {p} {s}, Hyderabad"
2026-03-08,11:50:00,burglary,bridge,26.928017,75.741087,Jaipur,"245 {p} {s}, Jaipur"
2026-03-31,03:45:00,assault,mosque,18.472514,73.848551,Pune,"329 {p} {s}, Pune"
2026-02-06,04:16:00,fraud,highway,12.925453,77.613941,Bangalore,"176 {p} {s}, Bangalore"
2026-02-06,22:12:00,assault,mosque,28.639255,77.21312,Delhi,"362 {p} {s}, Delhi"
2026-01-08,03:17:00,fraud,mohalla,22.541093,88.371588,Kolkata,"288 {p} {s}, Kolkata"
2026-03-10,23:45:00,theft,main road,26.959058,75.800513,Jaipur,"245 {p} {s}, Jaipur"
2026-01-20,00:14:00,robbery,park,22.541533,88.382511,Kolkata,"72 {p} {s}, Kolkata"
2026-02-13,18:43:00,theft,mohalla,18.563443,73.816292,Pune,"301 {p} {s}, Pune"
2026-01-22,23:07:00,assault,hospital,13.016311,77.619816,Bangalore,"53 {p} {s}, Bangalore"
2026-01-16,17:32:00,burglary,village,17.398708,78.447108,Hyderabad,"287 {p} {s}, Hyderabad"
2026-02-24,02:03:00,murder,park,22.600753,88.338204,Kolkata,"252 {p} {s}, Kolkata"
2026-03-21,19:07:00,robbery,slum area,26.897009,75.799925,Jaipur,"71 {p} {s}, Jaipur"
2026-02-13,21:12:00,theft,construction site,13.019066,77.625358,Bangalore,"341 {p} {s}, Bangalore"
2026-02-16,18:48:00,theft,bus stand,13.034899,80.294362,Chennai,"489 {p} {s}, Chennai"
2026-02-04,05:42:00,fraud,slum area,26.86279,80.920985,Lucknow,"70 {p} {s}, Lucknow"
2026-01-24,03:43:00,robbery,railway station,28.589076,77.241482,Delhi,"132 {p} {s}, Delhi"
2026-01-29,15:06:00,assault,railway station,22.578194,88.38799,Kolkata,"111 {p} {s}, Kolkata"
2026-01-09,10:13:00,murder,park,19.114206,72.868297,Mumbai,"415 {p} {s}, Mumbai"
2026-02-09,01:30:00,theft,park,19.049455,72.826357,Mumbai,"49 {p} {s}, Mumbai"
2026-02-15,00:40:00,theft,bazaar,12.993319,77.619665,Bangalore,"306 {p} {s}, Bangalore"
2026-01-08,03:33:00,theft,mosque,13.012747,77.575882,Bangalore,"490 {p} {s}, Bangalore"
2026-02-10,03:36:00,fraud,mohalla,22.97678,72.562834,Ahmedabad,"474 {p} {s}, Ahmedabad"
2026-03-23,19:41:00,theft,railway station,13.012591,77.629332,Bangalore,"207 {p} {s}, Bangalore"
2026-03-27,10:04:00,assault,hospital,26.807835,80.977002,Lucknow,"90 {p} {s}, Lucknow"
2026-03-30,15:33:00,theft,bazaar,12.99343,77.634154,Bangalore,"376 {p} {s}, Bangalore"
2026-01-20,10:32:00,fraud,bazaar,12.988127,77.566543,Bangalore,"142 {p} {s}, Bangalore"
2026-03-23,19:17:00,assault,mohalla,28.620769,77.163577,Delhi,"500 {p} {s}, Delhi"
2026-03-16,08:13:00,fraud,construction site,28.583149,77.209579,Delhi,"156 {p} {s}, Delhi"
2026-03-16,11:28:00,assault,railway station,22.585459,88.335798,Kolkata,"72 {p} {s}, Kolkata"
2026-03-23,15:56:00,hit and run,mall,17.384563,78.484908,Hyderabad,"324 {p} {s}, Hyderabad"
2026-02-26,08:39:00,kidnapping,main road,19.072015,72.861827,Mumbai,"191 {p} {s}, Mumbai"
2026-01-24,14:34:00,burglary,main road,13.122511,80.27922,Chennai,"267 {p} {s}, Chennai"
2026-01-06,22:09:00,theft,office complex,12.980601,77.633828,Bangalore,"71 {p} {s}, Bangalore"
2026-02-12,16:45:00,fraud,office complex,28.62564,77.233423,Delhi,"478 {p} {s}, Delhi"
2026-02-11,15:02:00,theft,construction site,26.879007,75.803311,Jaipur,"374 {p} {s}, Jaipur"
2026-01-06,13:35:00,fraud,village,26.806542,80.907244,Lucknow,"312 {p} {s}, Lucknow"
2026-01-25,19:20:00,robbery,hospital,23.013148,72.567339,Ahmedabad,"341 {p} {s}, Ahmedabad"
2026-03-11,03:08:00,theft,market,19.027642,72.868169,Mumbai,"390 {p} {s}, Mumbai"
2026-02-25,11:36:00,theft,mohalla,12.981966,77.567267,Bangalore,"167 {p} {s}, Bangalore"
2026-03-15,10:00:00,hit and run,slum area,28.643964,77.165085,Delhi,"206 {p} {s}, Delhi"
2026-01-02,04:45:00,kidnapping,school,13.081152,80.250588,Chennai,"423 {p} {s}, Chennai"
2026-03-14,23:59:00,burglary,bazaar,26.805912,80.938223,Lucknow,"124 {p} {s}, Lucknow"
2026-02-01,11:54:00,murder,bridge,23.043029,72.601403,Ahmedabad,"157 {p} {s}, Ahmedabad"
2026-02-08,00:26:00,assault,residential area,22.525813,88.367628,Kolkata,"316 {p} {s}, Kolkata"
2026-03-01,16:18:00,rape,main road,22.565727,88.326137,Kolkata,"189 {p} {s}, Kolkata"
2026-01-07,07:48:00,kidnapping,hospital,19.064129,72.834516,Mumbai,"9 {p} {s}, Mumbai"
2026-03-22,06:38:00,assault,village,19.064839,72.91981,Mumbai,"371 {p} {s}, Mumbai"
2026-03-25,19:15:00,robbery,slum area,26.810416,80.989018,Lucknow,"383 {p} {s}, Lucknow"
2026-01-09,00:50:00,assault,main road,13.043643,80.305054,Chennai,"328 {p} {s}, Chennai"
2026-03-15,12:37:00,hit and run,hospital,23.065511,72.534191,Ahmedabad,"318 {p} {s}, Ahmedabad"
2026-03-24,08:39:00,theft,bus stand,19.062069,72.91223,Mumbai,"238 {p} {s}, Mumbai"
2026-03-20,17:40:00,theft,mall,22.980897,72.598217,Ahmedabad,"189 {p} {s}, Ahmedabad"
2026-02-27,04:00:00,dowry death,residential area,17.401785,78.513275,Hyderabad,"341 {p} {s}, Hyderabad"
2026-03-13,17:22:00,robbery,school,22.571888,88.338637,Kolkata,"437 {p} {s}, Kolkata"
2026-02-15,00:00:00,theft,bazaar,17.376988,78.486691,Hyderabad,"485 {p} {s}, Hyderabad"
2026-02-05,09:20:00,dowry death,temple,22.618958,88.32192,Kolkata,"366 {p} {s}, Kolkata"
2026-03-21,23:31:00,burglary,mohalla,13.050706,80.271793,Chennai,"192 {p} {s}, Chennai"
2026-03-19,00:36:00,theft,bridge,26.885958,75.749499,Jaipur,"498 {p} {s}, Jaipur"
2026-03-25,01:03:00,dowry death,residential area,22.532538,88.362133,Kolkata,"172 {p} {s}, Kolkata"
2026-03-05,20:59:00,hit and run,office complex,12.988677,77.543587,Bangalore,"473 {p} {s}, Bangalore"
2026-02-15,16:38:00,robbery,mohalla,22.568895,88.342759,Kolkata,"345 {p} {s}, Kolkata"
2026-03-09,11:44:00,assault,bus stand,19.054478,72.824688,Mumbai,"296 {p} {s}, Mumbai"
2026-01-03,04:14:00,theft,railway station,26.952887,75.76413,Jaipur,"481 {p} {s}, Jaipur"
2026-03-24,22:25:00,assault,industrial area,22.530772,88.347677,Kolkata,"212 {p} {s}, Kolkata"
2026-02-18,10:27:00,burglary,residential area,23.065707,72.61935,Ahmedabad,"205 {p} {s}, Ahmedabad"
2026-03-16,11:04:00,burglary,hospital,26.843335,80.924986,Lucknow,"34 {p} {s}, Lucknow"
2026-02-22,11:02:00,murder,bridge,26.942574,75.76517,Jaipur,"106 {p} {s}, Jaipur"
2026-02-21,15:10:00,hit and run,construction site,22.61646,88.352796,Kolkata,"294 {p} {s}, Kolkata"
2026-01-04,11:19:00,rape,office complex,22.97438,72.542059,Ahmedabad,"123 {p} {s}, Ahmedabad"
