date,type,description,latitude,longitude,district,address
2026-05-30T00:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.907494674,-87.646708258,018,007XX W SCHILLER ST
2026-05-30T00:00:00.000,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,42.017346309,-87.675479135,024,074XX N CLARK ST
2026-05-30T00:00:00.000,THEFT,POCKET-PICKING,41.943056436,-87.649362967,019,033XX N HALSTED ST
2026-05-30T00:00:00.000,BURGLARY,FORCIBLE ENTRY,41.786242735,-87.703792876,008,032XX W 59TH ST
2026-05-30T00:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.90412856,-87.696909199,014,012XX N CALIFORNIA AVE
2026-05-30T00:00:00.000,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",41.867608211,-87.680298775,012,011XX S HAMILTON AVE
2026-05-30T00:00:00.000,BATTERY,SIMPLE,41.801097969,-87.687550491,009,025XX W 51ST ST
2026-05-30T00:00:00.000,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,,,001,0000X N LA SALLE ST
2026-05-30T00:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.764433097,-87.637081657,007,071XX S NORMAL BLVD
2026-05-30T00:00:00.000,THEFT,$500 AND UNDER,41.963070794,-87.655984213,019,044XX N BROADWAY
2026-05-30T00:00:00.000,BURGLARY,FORCIBLE ENTRY,41.915946335,-87.737519739,025,019XX N KENNETH AVE
2026-05-30T00:00:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,41.883449397,-87.75639986,015,001XX N LATROBE AVE
2026-05-30T00:00:00.000,THEFT,OVER $500,41.961794066,-87.653549002,019,009XX W MONTROSE AVE
2026-05-30T00:00:00.000,ASSAULT,AGGRAVATED - HANDGUN,41.751807479,-87.640410126,006,078XX S LOWE AVE
2026-05-30T00:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.878841472,-87.648443493,012,002XX S GREEN ST
2026-05-30T00:00:00.000,THEFT,$500 AND UNDER,41.879121968,-87.65315906,012,010XX W ADAMS ST
2026-05-30T00:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.890023779,-87.653906494,012,010XX W HUBBARD ST
2026-05-30T00:00:00.000,THEFT,FROM BUILDING,41.988630807,-87.812829371,016,074XX W TALCOTT AVE
2026-05-29T23:56:00.000,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,41.897928581,-87.736636739,011,044XX W WALTON ST
2026-05-29T23:50:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.807538879,-87.749613504,008,050XX W 47TH ST
2026-05-29T23:45:00.000,THEFT,POCKET-PICKING,41.875820724,-87.647175913,012,004XX S Halsted st
2026-05-29T23:38:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.885342444,-87.710092279,011,033XX W WALNUT ST
